track_id,duration_s,rms_mean,rms_std,zcr_mean,zcr_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,flatness_mean,flatness_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,chroma1_mean,chroma1_std,chroma2_mean,chroma2_std,chroma3_mean,chroma3_std,chroma4_mean,chroma4_std,chroma5_mean,chroma5_std,chroma6_mean,chroma6_std,chroma7_mean,chroma7_std,chroma8_mean,chroma8_std,chroma9_mean,chroma9_std,chroma10_mean,chroma10_std,chroma11_mean,chroma11_std,chroma12_mean,chroma12_std
000002,29.9770,0.1476,0.0731,0.1972,0.0942,2576.9687,732.4104,2215.3623,247.7244,5287.7285,1075.6521,0.1074,0.0840,-44.6599,51.1364,50.1420,27.3876,-2.3540,20.4585,5.7752,18.9045,3.0885,17.2528,4.4494,14.0872,1.9860,9.6712,-0.8162,10.1316,-3.4148,9.1921,-6.0246,9.8523,-0.4622,10.5167,1.9724,8.7708,4.6953,7.4736,0.7441,0.2928,0.4463,0.2837,0.3816,0.2848,0.3390,0.2485,0.2704,0.1997,0.2524,0.2207,0.2996,0.2236,0.4406,0.2802,0.3825,0.2677,0.3737,0.2766,0.4081,0.2684,0.5518,0.2783
000005,30.0000,0.1512,0.0760,0.1215,0.0713,2069.1491,664.4158,2184.7623,303.4438,4717.2258,1280.9303,0.0514,0.0551,-82.9492,43.6455,73.7029,25.5936,20.4270,20.8758,12.2588,19.5651,7.5061,14.8997,1.3456,13.2988,8.6934,10.1963,5.1297,10.1717,-6.6607,10.3932,2.4501,10.1343,5.2136,8.2273,6.4917,8.9839,3.8133,7.1657,0.3917,0.2506,0.5769,0.3278,0.3671,0.2446,0.3186,0.2526,0.3024,0.2298,0.3379,0.2673,0.3869,0.3028,0.4103,0.2923,0.4748,0.3095,0.4962,0.3216,0.4911,0.3151,0.4327,0.3097
000010,29.9770,0.1885,0.0402,0.1959,0.0332,2176.9735,279.4128,1759.1753,188.4516,4033.5512,565.7212,0.0611,0.0361,8.4617,23.8394,63.8313,15.6896,-32.0372,12.6680,28.2865,9.7770,-7.9171,10.2240,3.5932,7.6770,-0.7207,7.9853,-1.0760,7.3388,-3.5651,7.1124,-5.8974,6.5658,-1.9094,5.9133,-2.8026,5.7097,-0.4654,5.5415,0.2657,0.1597,0.6533,0.2900,0.3212,0.1545,0.3503,0.2585,0.2196,0.1362,0.3086,0.1626,0.7174,0.2829,0.3349,0.1714,0.3810,0.2734,0.3011,0.2105,0.5669,0.2803,0.3099,0.1969
000140,29.9770,0.0697,0.0370,0.0534,0.0550,1467.4719,793.2230,1969.2347,411.9441,3323.1473,1808.3355,0.0143,0.0408,-256.6834,84.7233,88.2930,33.0088,42.0883,20.6882,33.1983,15.2537,22.1891,12.4666,9.4732,11.4523,8.8261,9.3912,1.4935,9.6177,5.0528,11.5624,-0.9053,9.1279,-5.9161,8.1136,-2.2744,7.8009,-2.5622,6.9518,0.2078,0.2909,0.2167,0.2183,0.3306,0.3771,0.2460,0.2431,0.3632,0.3565,0.3992,0.3673,0.2376,0.2479,0.2089,0.3064,0.1655,0.2080,0.2595,0.3059,0.2469,0.3271,0.1832,0.2146
000141,29.9770,0.1016,0.0776,0.0796,0.0579,1489.0102,634.1366,1647.0112,371.1615,3106.6902,1274.2233,0.0158,0.0343,-187.4379,113.8730,96.9710,33.8799,2.3613,15.0792,26.1472,17.9621,-0.6070,11.8621,1.8261,12.6566,0.0558,9.9406,-4.0697,10.3169,3.0175,7.9713,-2.6162,8.4307,-5.9549,9.0881,-2.7279,7.2824,-0.1083,8.7372,0.1493,0.2386,0.1284,0.1921,0.2211,0.2658,0.1852,0.2642,0.2241,0.2458,0.3625,0.3521,0.2045,0.2097,0.2161,0.3121,0.2004,0.2367,0.3727,0.3409,0.4890,0.4151,0.1829,0.1990
000148,29.9770,0.4779,0.0584,0.1108,0.0480,1588.8685,450.3188,1635.4361,371.6532,3227.8632,1055.7149,0.0167,0.0119,35.8874,35.9554,100.8701,30.9253,-18.9771,21.5102,31.5718,12.6813,11.6900,13.1341,4.1094,10.4309,7.1617,10.9314,6.8670,9.0262,3.2574,10.2417,4.2139,10.7176,3.3613,9.5620,3.4910,8.0924,9.7442,7.3341,0.2143,0.2452,0.2161,0.2465,0.2033,0.1908,0.3349,0.3155,0.2266,0.1960,0.2245,0.1569,0.4958,0.3677,0.4353,0.2967,0.4226,0.3129,0.4958,0.3808,0.3206,0.2573,0.2242,0.2248
000182,30.0000,0.2746,0.0223,0.1321,0.0298,1850.1323,331.8802,1696.3859,243.7805,3914.2707,763.9937,0.0267,0.0192,15.0184,22.6420,88.8220,21.4279,-29.7859,19.3221,16.3734,11.4946,-16.3399,9.8474,27.6740,8.6388,-6.3618,7.6147,24.5239,7.5939,1.0852,6.7504,18.1180,6.5294,8.0201,5.8324,8.3094,6.2874,7.3751,6.5798,0.2951,0.2646,0.2863,0.2456,0.3410,0.2596,0.4748,0.3383,0.2914,0.2178,0.4580,0.3358,0.4041,0.3022,0.4520,0.3439,0.3146,0.2466,0.2817,0.2149,0.4802,0.3444,0.2696,0.2133
000190,30.0000,0.1335,0.0631,0.1145,0.0513,1769.6858,563.3927,1766.4727,247.0443,3488.0314,990.0312,0.0145,0.0291,-118.2318,52.0934,70.8796,21.6924,-9.9749,16.6104,16.8057,17.4436,-7.5071,8.2989,-15.6603,11.0960,-15.4317,7.6036,-15.3615,10.7822,-12.3737,8.8141,-11.8337,8.5048,-8.5676,9.0987,-6.9658,9.9142,-7.9048,9.3899,0.2294,0.3070,0.1445,0.1990,0.2261,0.3193,0.1666,0.1614,0.3771,0.3635,0.2711,0.2982,0.2447,0.2814,0.2603,0.3203,0.2485,0.2841,0.3124,0.3476,0.1499,0.1898,0.2123,0.2686
000193,29.9770,0.0836,0.0425,0.1010,0.0430,1509.4108,513.8341,1592.2043,307.1779,3083.0860,1048.5138,0.0155,0.0446,-174.6336,101.1906,87.8163,27.4972,-13.0188,12.7506,25.6080,15.6352,-7.4947,8.0825,-1.1990,9.6853,-12.7199,8.8726,-11.2201,7.1929,-13.8105,7.9956,-8.5627,6.9947,-8.0719,8.7213,-5.8405,8.4080,-10.9785,7.3637,0.2586,0.2482,0.3806,0.2874,0.3375,0.2911,0.4229,0.3430,0.3899,0.3273,0.3045,0.2804,0.3201,0.3034,0.1698,0.1502,0.2870,0.2939,0.2827,0.2682,0.2681,0.2611,0.2466,0.2111
000194,30.0000,0.0968,0.0558,0.0957,0.0340,1476.4345,415.6521,1594.2983,290.4612,2978.5864,921.2244,0.0078,0.0130,-161.7321,97.4229,90.1216,22.6181,-13.1050,16.4554,20.5115,15.1217,-6.1102,9.2365,-4.4253,9.4858,-8.3511,8.2158,-11.6073,9.6267,-11.7854,8.0696,-9.9465,7.2577,-5.6997,7.4009,-7.8854,6.8296,-12.3637,7.6205,0.2564,0.2515,0.2676,0.2542,0.3306,0.3459,0.1978,0.1846,0.3866,0.3469,0.3554,0.3414,0.2190,0.2187,0.2318,0.3130,0.2528,0.2137,0.4128,0.3404,0.2249,0.2143,0.2632,0.2950
