,precision,recall,f1-score,support
Electronic,0.359466221851543,0.7183333333333334,0.47915508615897723,600.0
Experimental,0.2914837576821773,0.5561139028475712,0.3824884792626728,597.0
Folk,0.6214833759590793,0.405,0.49041372351160445,600.0
Hip-Hop,0.7092731829573935,0.474036850921273,0.5682730923694779,597.0
Instrumental,0.5106007067137809,0.4816666666666667,0.4957118353344768,600.0
International,0.6619385342789598,0.4666666666666667,0.5474095796676441,600.0
Pop,0.2379182156133829,0.10666666666666667,0.1472957422324511,600.0
Rock,0.5563725490196079,0.37833333333333335,0.4503968253968254,600.0
accuracy,0.4482686691697956,0.4482686691697956,0.4482686691697956,0.4482686691697956
macro avg,0.4935670680094906,0.4483521775544389,0.4451430454917662,4794.0
weighted avg,0.49355854310046643,0.4482686691697956,0.44510520101075957,4794.0
