,precision,recall,f1-score,support
Electronic,0.7695473251028807,0.31166666666666665,0.44365361803084225,600.0
Experimental,0.4646924829157175,0.3417085427135678,0.3938223938223938,597.0
Folk,0.39480752014324083,0.735,0.5136866627839255,600.0
Hip-Hop,0.8301886792452831,0.44221105527638194,0.5770491803278689,597.0
Instrumental,0.43410852713178294,0.6533333333333333,0.5216234198270127,600.0
International,0.5322283609576427,0.4816666666666667,0.5056867891513561,600.0
Pop,0.23843416370106763,0.22333333333333333,0.2306368330464716,600.0
Rock,0.4947683109118087,0.5516666666666666,0.5216706067769897,600.0
accuracy,0.46766791823112225,0.46766791823112225,0.46766791823112225,0.46766791823112225
macro avg,0.519846921263678,0.467573283082077,0.46347868797085756,4794.0
weighted avg,0.5196872295742953,0.46766791823112225,0.4634512072460713,4794.0
