,precision,recall,f1-score,support
Electronic,0.2761904761904762,0.04833333333333333,0.08226950354609928,600.0
Experimental,0.2465277777777778,0.11892797319932999,0.16045197740112993,597.0
Folk,0.75,0.005,0.009933774834437087,600.0
Hip-Hop,0.2777777777777778,0.03350083752093802,0.059790732436472344,597.0
Instrumental,0.5229681978798587,0.24666666666666667,0.3352208380520951,600.0
International,0.4,0.04,0.07272727272727272,600.0
Pop,0.0,0.0,0.0,600.0
Rock,0.14917127071823205,0.99,0.25927542557835004,600.0
accuracy,0.1854401335002086,0.1854401335002086,0.1854401335002086,0.1854401335002086
macro avg,0.3278294375430153,0.18530360134003349,0.12245869057198207,4794.0
weighted avg,0.327911636115938,0.1854401335002086,0.12247413154276202,4794.0
