,precision,recall,f1-score,support
Electronic,0.5918367346938775,0.58,0.5858585858585859,600.0
Experimental,0.5202863961813843,0.36515912897822445,0.42913385826771655,597.0
Folk,0.4238095238095238,0.7416666666666667,0.5393939393939394,600.0
Hip-Hop,0.6406727828746177,0.7018425460636516,0.6698641087130296,597.0
Instrumental,0.5364238410596026,0.54,0.5382059800664452,600.0
International,0.7560240963855421,0.41833333333333333,0.5386266094420601,600.0
Pop,0.2509090909090909,0.345,0.2905263157894737,600.0
Rock,0.65527950310559,0.3516666666666667,0.45770065075921906,600.0
accuracy,0.5054234459741344,0.5054234459741344,0.5054234459741344,0.5054234459741344
macro avg,0.5469052461274037,0.5054585427135678,0.5061637560363087,4794.0
weighted avg,0.5468632256725843,0.5054234459741344,0.5061095192059532,4794.0
