,precision,recall,f1-score,support
Electronic,0.48735632183908045,0.7066666666666667,0.5768707482993197,600.0
Experimental,0.5031185031185031,0.4053601340033501,0.4489795918367347,597.0
Folk,0.5414285714285715,0.6316666666666667,0.583076923076923,600.0
Hip-Hop,0.6817359855334539,0.6314907872696818,0.6556521739130434,597.0
Instrumental,0.5658119658119658,0.5516666666666666,0.5586497890295359,600.0
International,0.6515151515151515,0.5016666666666667,0.5668549905838042,600.0
Pop,0.25316455696202533,0.13333333333333333,0.17467248908296942,600.0
Rock,0.48125755743651755,0.6633333333333333,0.5578135949544499,600.0
accuracy,0.5281602002503129,0.5281602002503129,0.5281602002503129,0.5281602002503129
macro avg,0.5206735767056587,0.5281480318257956,0.5153212875970976,4794.0
weighted avg,0.5205837723657083,0.5281602002503129,0.5152749864765996,4794.0
