,precision,recall,f1-score,support
Electronic,0.3992932862190813,0.7533333333333333,0.5219399538106235,600.0
Experimental,0.3417305585980285,0.5226130653266332,0.41324503311258276,597.0
Folk,0.6613636363636364,0.485,0.5596153846153846,600.0
Hip-Hop,0.8638297872340426,0.34003350083752093,0.4879807692307692,597.0
Instrumental,0.476,0.595,0.5288888888888889,600.0
International,0.634765625,0.5416666666666666,0.5845323741007195,600.0
Pop,0.3389830508474576,0.1,0.15444015444015444,600.0
Rock,0.537007874015748,0.5683333333333334,0.5522267206477732,600.0
accuracy,0.4883187317480184,0.4883187317480184,0.4883187317480184,0.4883187317480184
macro avg,0.5316217272847493,0.488247487437186,0.475358659855862,4794.0
weighted avg,0.5315326679034836,0.4883187317480184,0.47538963076785734,4794.0
