,precision,recall,f1-score,support
Electronic,0.2452991452991453,0.47833333333333333,0.32429378531073444,600.0
Experimental,0.20108108108108108,0.31155778894472363,0.24441524310118265,597.0
Folk,0.5130890052356021,0.16333333333333333,0.24778761061946902,600.0
Hip-Hop,0.5769230769230769,0.02512562814070352,0.048154093097913325,597.0
Instrumental,0.34164859002169196,0.525,0.41392904073587383,600.0
International,0.0,0.0,0.0,600.0
Pop,0.0,0.0,0.0,600.0
Rock,0.2771007055805003,0.72,0.4001852709587772,600.0
accuracy,0.27805590321234874,0.27805590321234874,0.27805590321234874,0.27805590321234874
macro avg,0.2693927005176372,0.27791876046901176,0.20984563047799382,4794.0
weighted avg,0.2692430016709733,0.27805590321234874,0.20992518111926844,4794.0
